,field name,reference_number,watch_URL,type,brand,year_introduced,parent_model,specific_model,nickname,marketing_name,style,currency,price,image_URL,made_in,case_shape,case_material,case_finish,caseback,diameter,between_lugs,lug_to_lug,case_thickness,bezel_material,bezel_color,crystal,water_resistance,weight,dial_color,numerals,bracelet_material,bracelet_color,clasp_type,movement,caliber,power_reserve,frequency,jewels,features,description,short_description
0,value,AXA.72.5865.000,https://www.mbandf.com/en/machines/co-creations/musicmachine1,,MB&F,,Co creations,Musicmachine 1,Black lacquered walnut with black matte-anodized aluminium,MUSICMACHINE 1 BLACK,,,,https://www.mbandf.com/files/machines/co-creations/musicmachine1/images/MusicMachine-Black-on-white_preview.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,"MusicMachine 1 is the first music box of a trilogy that looks and sounds out of this world. It contains all the traditional, time-honoured elements of a superlative high-end music box, but designed and configured in a totally unconventional way.Each of the cylinders on MusicMachine 1 plays three tunes. On the left, may the Force be with you with the ‘Star Wars’ theme, the ‘Imperial March’ from ‘The Empire Strikes Back’, and the theme from ‘Star Trek’. Back on earth, the right cylinder plays Pink Floyd’s ‘Another Brick in the Wall’, Deep Purple’s ‘Smoke on the Water’ and John Lennon’s ‘Imagine’.",Limited edition of 33 pieces
1,value,AXA.72.5865.001,https://www.mbandf.com/en/machines/co-creations/musicmachine1,,MB&F,,Co creations,Musicmachine 1,White lacquered walnut with bead-blasted and anodized aluminium,MUSICMACHINE 1 WHITE,,,,https://www.mbandf.com/files/machines/co-creations/musicmachine1/images/MusicMachine-White-on-white_preview.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,"MusicMachine 1 is the first music box of a trilogy that looks and sounds out of this world. It contains all the traditional, time-honoured elements of a superlative high-end music box, but designed and configured in a totally unconventional way.Each of the cylinders on MusicMachine 1 plays three tunes. On the left, may the Force be with you with the ‘Star Wars’ theme, the ‘Imperial March’ from ‘The Empire Strikes Back’, and the theme from ‘Star Trek’. Back on earth, the right cylinder plays Pink Floyd’s ‘Another Brick in the Wall’, Deep Purple’s ‘Smoke on the Water’ and John Lennon’s ‘Imagine’.",Limited edition of 33 pieces
0,value,50.6802/101,https://www.mbandf.com/en/machines/co-creations/melchior,,MB&F,,Co creations,Melchior,Stainless steel and brass,MELCHIOR ‘LIGHT’ EDITION,,,,https://www.mbandf.com/files/machines/co-creations/melchior/images/Melchior-Light-face_preview.jpg,,,,,,,,,,,,,,,,,,,,"
L’Epée 1839 in-line eight-day movement, designed and manufactured in-house 
Incabloc shock protection system
Power reserve: 40 days
Balance frequency: 18,000 bph / 2.5 Hz
334 components / 17 jewels","
L’Epée 1839 in-line eight-day movement, designed and manufactured in-house 
Incabloc shock protection system
Power reserve: 40 days
Balance frequency: 18,000 bph / 2.5 Hz
334 components / 17 jewels","
L’Epée 1839 in-line eight-day movement, designed and manufactured in-house 
Incabloc shock protection system
Power reserve: 40 days
Balance frequency: 18,000 bph / 2.5 Hz
334 components / 17 jewels","
L’Epée 1839 in-line eight-day movement, designed and manufactured in-house 
Incabloc shock protection system
Power reserve: 40 days
Balance frequency: 18,000 bph / 2.5 Hz
334 components / 17 jewels","
L’Epée 1839 in-line eight-day movement, designed and manufactured in-house 
Incabloc shock protection system
Power reserve: 40 days
Balance frequency: 18,000 bph / 2.5 Hz
334 components / 17 jewels",,"Melchior was one of MB&F’s 10th Anniversary Pieces, presented in 2015 under the theme ”A creative adult is a child who survived”. Created with L’Epée 1839, Melchior is not only an impressive kinetic robot which may remind you of your childhood dreams, but also an impeccably finished, 480-component mechanical table clock.Jumping hours and sweeping minutes on Melchior’s chest are displayed via discs bearing MB&F’s signature numerals, while a dial on Melchior’s abdomen is the power reserve indicator. And this robot’s self-sufficiency is to be admired, for the finely-finished, highly-visible movement boasts a power reserve of 40 days, thanks to five mainspring barrels which help make up Melchior’s rippling torso. The gatling gun on his left arm doubles as the winding and time setting key.",Limited edition
1,value,50.6802/201,https://www.mbandf.com/en/machines/co-creations/melchior,,MB&F,,Co creations,Melchior,"Stainless steel and brass, black PVD-treated components",MELCHIOR ‘DARK AND LIGHT’ EDITION,,,,https://www.mbandf.com/files/machines/co-creations/melchior/images/Melchior-Light-Dark-face_preview.jpg,,,,,,,,,,,,,,,,,,,,"
L’Epée 1839 in-line eight-day movement, designed and manufactured in-house 
Incabloc shock protection system
Power reserve: 40 days
Balance frequency: 18,000 bph / 2.5 Hz
334 components / 17 jewels","
L’Epée 1839 in-line eight-day movement, designed and manufactured in-house 
Incabloc shock protection system
Power reserve: 40 days
Balance frequency: 18,000 bph / 2.5 Hz
334 components / 17 jewels","
L’Epée 1839 in-line eight-day movement, designed and manufactured in-house 
Incabloc shock protection system
Power reserve: 40 days
Balance frequency: 18,000 bph / 2.5 Hz
334 components / 17 jewels","
L’Epée 1839 in-line eight-day movement, designed and manufactured in-house 
Incabloc shock protection system
Power reserve: 40 days
Balance frequency: 18,000 bph / 2.5 Hz
334 components / 17 jewels","
L’Epée 1839 in-line eight-day movement, designed and manufactured in-house 
Incabloc shock protection system
Power reserve: 40 days
Balance frequency: 18,000 bph / 2.5 Hz
334 components / 17 jewels",,"Melchior was one of MB&F’s 10th Anniversary Pieces, presented in 2015 under the theme ”A creative adult is a child who survived”. Created with L’Epée 1839, Melchior is not only an impressive kinetic robot which may remind you of your childhood dreams, but also an impeccably finished, 480-component mechanical table clock.Jumping hours and sweeping minutes on Melchior’s chest are displayed via discs bearing MB&F’s signature numerals, while a dial on Melchior’s abdomen is the power reserve indicator. And this robot’s self-sufficiency is to be admired, for the finely-finished, highly-visible movement boasts a power reserve of 40 days, thanks to five mainspring barrels which help make up Melchior’s rippling torso. The gatling gun on his left arm doubles as the winding and time setting key.",Limited edition
2,value,50.6802/301,https://www.mbandf.com/en/machines/co-creations/melchior,,MB&F,,Co creations,Melchior,Stainless steel and brass With bright red anodized aluminium shoulder pads,MELCHIOR ‘ONLY WATCH’,,,,https://www.mbandf.com/files/machines/co-creations/melchior/images/Melchior-Only-Watch-Front_preview.jpg,,,,,,,,,,,,,,,,,,,,"
L’Epée 1839 in-line eight-day movement, designed and manufactured in-house 
Incabloc shock protection system
Power reserve: 40 days
Balance frequency: 18,000 bph / 2.5 Hz
334 components / 17 jewels","
L’Epée 1839 in-line eight-day movement, designed and manufactured in-house 
Incabloc shock protection system
Power reserve: 40 days
Balance frequency: 18,000 bph / 2.5 Hz
334 components / 17 jewels","
L’Epée 1839 in-line eight-day movement, designed and manufactured in-house 
Incabloc shock protection system
Power reserve: 40 days
Balance frequency: 18,000 bph / 2.5 Hz
334 components / 17 jewels","
L’Epée 1839 in-line eight-day movement, designed and manufactured in-house 
Incabloc shock protection system
Power reserve: 40 days
Balance frequency: 18,000 bph / 2.5 Hz
334 components / 17 jewels","
L’Epée 1839 in-line eight-day movement, designed and manufactured in-house 
Incabloc shock protection system
Power reserve: 40 days
Balance frequency: 18,000 bph / 2.5 Hz
334 components / 17 jewels",,"Melchior was one of MB&F’s 10th Anniversary Pieces, presented in 2015 under the theme ”A creative adult is a child who survived”. Created with L’Epée 1839, Melchior is not only an impressive kinetic robot which may remind you of your childhood dreams, but also an impeccably finished, 480-component mechanical table clock.Jumping hours and sweeping minutes on Melchior’s chest are displayed via discs bearing MB&F’s signature numerals, while a dial on Melchior’s abdomen is the power reserve indicator. And this robot’s self-sufficiency is to be admired, for the finely-finished, highly-visible movement boasts a power reserve of 40 days, thanks to five mainspring barrels which help make up Melchior’s rippling torso. The gatling gun on his left arm doubles as the winding and time setting key.", Unique piece for Only Watch 2015
0,value,05.WSL.TB,https://www.mbandf.com/en/machines/performance-art/lmflyingt-ice-blizzard-emmanuel-tarpin,,MB&F,,Performance art,MB&F x EMMANUEL TARPIN,18K white gold with fully diamond-set cases and blue matte lapis lazuli dial plates.,LEGACY MACHINE FLYING T BLIZZARD,,,,https://www.mbandf.com/files/machines/performance-art/lmflyingt-ice-blizzard-emmanuel-tarpin/images/MBandF_LMFlyingT_EmmanuelTarpin_Blizzard_Front_preview.jpg,,,"
Material: 18K white set with diamonds.
High domed sapphire crystal on top with anti-reflective coating on both sides, sapphire crystal on back.
Dimensions: 39 x 20mm
Number of components: 17
Water resistance: 3ATM / 30m / 90’",,,"
Material: 18K white set with diamonds.
High domed sapphire crystal on top with anti-reflective coating on both sides, sapphire crystal on back.
Dimensions: 39 x 20mm
Number of components: 17
Water resistance: 3ATM / 30m / 90’","
Material: 18K white set with diamonds.
High domed sapphire crystal on top with anti-reflective coating on both sides, sapphire crystal on back.
Dimensions: 39 x 20mm
Number of components: 17
Water resistance: 3ATM / 30m / 90’","
Material: 18K white set with diamonds.
High domed sapphire crystal on top with anti-reflective coating on both sides, sapphire crystal on back.
Dimensions: 39 x 20mm
Number of components: 17
Water resistance: 3ATM / 30m / 90’","
Material: 18K white set with diamonds.
High domed sapphire crystal on top with anti-reflective coating on both sides, sapphire crystal on back.
Dimensions: 39 x 20mm
Number of components: 17
Water resistance: 3ATM / 30m / 90’",,,,,,,,,,,"
MB&F FlyingT movement featuring three-dimensional vertical architecture, automatic winding, conceived and developed in-house with a blue balance wheel
Central flying 60-second tourbillon
Power reserve: 100 hours
Balance frequency: 18,000bph / 2.5Hz
Three-dimensional sun winding rotor in 18K 5N+ red gold, titanium and platinum
Number of components: 280
Number of jewels: 30","
MB&F FlyingT movement featuring three-dimensional vertical architecture, automatic winding, conceived and developed in-house with a blue balance wheel
Central flying 60-second tourbillon
Power reserve: 100 hours
Balance frequency: 18,000bph / 2.5Hz
Three-dimensional sun winding rotor in 18K 5N+ red gold, titanium and platinum
Number of components: 280
Number of jewels: 30","
MB&F FlyingT movement featuring three-dimensional vertical architecture, automatic winding, conceived and developed in-house with a blue balance wheel
Central flying 60-second tourbillon
Power reserve: 100 hours
Balance frequency: 18,000bph / 2.5Hz
Three-dimensional sun winding rotor in 18K 5N+ red gold, titanium and platinum
Number of components: 280
Number of jewels: 30","
MB&F FlyingT movement featuring three-dimensional vertical architecture, automatic winding, conceived and developed in-house with a blue balance wheel
Central flying 60-second tourbillon
Power reserve: 100 hours
Balance frequency: 18,000bph / 2.5Hz
Three-dimensional sun winding rotor in 18K 5N+ red gold, titanium and platinum
Number of components: 280
Number of jewels: 30","
MB&F FlyingT movement featuring three-dimensional vertical architecture, automatic winding, conceived and developed in-house with a blue balance wheel
Central flying 60-second tourbillon
Power reserve: 100 hours
Balance frequency: 18,000bph / 2.5Hz
Three-dimensional sun winding rotor in 18K 5N+ red gold, titanium and platinum
Number of components: 280
Number of jewels: 30", Hours and minutes displayed on a 50° vertically tilted dial with two serpentine hands. Two crowns: winding on left and time-setting on right.,"Presenting two new limited edition Legacy Machine FlyingT models, inspired by swirling snow and icy stalagmites. These 'Ice' and 'Blizzard' editions – limited to just eight pieces each – are the result of a collaboration between MB&F and French jewellery designer Emmanuel Tarpin, best known for his unique pieces that combine his love for nature, sculpture, innovative materials and gemstones.This is the second collaboration within the Legacy Machine FlyingT collection. The first was with renowned Italian luxury brand Bulgari, famous around the globe – a very different story contrasting with this independent young artist, who prefers to work alone, meeting his clients and suppliers in person and running literally every aspect of his company solo. For Emmanuel Tarpin, personal contacts are at the heart of everything he does, and he chooses and declines projects based on the quality of these connections.Discover the MB&F Legacy Machine FlyingT universe.",Limited edition of 8 pieces
1,value,05.WSL.TI,https://www.mbandf.com/en/machines/performance-art/lmflyingt-ice-blizzard-emmanuel-tarpin,,MB&F,,Performance art,MB&F x EMMANUEL TARPIN,18K white gold with fully diamond-set cases and blue matte lapis lazuli dial plates.,LEGACY MACHINE FLYING T ICE,,,,https://www.mbandf.com/files/machines/performance-art/lmflyingt-ice-blizzard-emmanuel-tarpin/images/MBandF_LMFlyingT_EmmanuelTarpin_Ice_Front_preview.jpg,,,"
Material: 18K white set with diamonds.
High domed sapphire crystal on top with anti-reflective coating on both sides, sapphire crystal on back.
Dimensions: 39 x 20mm
Number of components: 17
Water resistance: 3ATM / 30m / 90’",,,"
Material: 18K white set with diamonds.
High domed sapphire crystal on top with anti-reflective coating on both sides, sapphire crystal on back.
Dimensions: 39 x 20mm
Number of components: 17
Water resistance: 3ATM / 30m / 90’","
Material: 18K white set with diamonds.
High domed sapphire crystal on top with anti-reflective coating on both sides, sapphire crystal on back.
Dimensions: 39 x 20mm
Number of components: 17
Water resistance: 3ATM / 30m / 90’","
Material: 18K white set with diamonds.
High domed sapphire crystal on top with anti-reflective coating on both sides, sapphire crystal on back.
Dimensions: 39 x 20mm
Number of components: 17
Water resistance: 3ATM / 30m / 90’","
Material: 18K white set with diamonds.
High domed sapphire crystal on top with anti-reflective coating on both sides, sapphire crystal on back.
Dimensions: 39 x 20mm
Number of components: 17
Water resistance: 3ATM / 30m / 90’",,,,,,,,,,,"
MB&F FlyingT movement featuring three-dimensional vertical architecture, automatic winding, conceived and developed in-house with a blue balance wheel
Central flying 60-second tourbillon
Power reserve: 100 hours
Balance frequency: 18,000bph / 2.5Hz
Three-dimensional sun winding rotor in 18K 5N+ red gold, titanium and platinum
Number of components: 280
Number of jewels: 30","
MB&F FlyingT movement featuring three-dimensional vertical architecture, automatic winding, conceived and developed in-house with a blue balance wheel
Central flying 60-second tourbillon
Power reserve: 100 hours
Balance frequency: 18,000bph / 2.5Hz
Three-dimensional sun winding rotor in 18K 5N+ red gold, titanium and platinum
Number of components: 280
Number of jewels: 30","
MB&F FlyingT movement featuring three-dimensional vertical architecture, automatic winding, conceived and developed in-house with a blue balance wheel
Central flying 60-second tourbillon
Power reserve: 100 hours
Balance frequency: 18,000bph / 2.5Hz
Three-dimensional sun winding rotor in 18K 5N+ red gold, titanium and platinum
Number of components: 280
Number of jewels: 30","
MB&F FlyingT movement featuring three-dimensional vertical architecture, automatic winding, conceived and developed in-house with a blue balance wheel
Central flying 60-second tourbillon
Power reserve: 100 hours
Balance frequency: 18,000bph / 2.5Hz
Three-dimensional sun winding rotor in 18K 5N+ red gold, titanium and platinum
Number of components: 280
Number of jewels: 30","
MB&F FlyingT movement featuring three-dimensional vertical architecture, automatic winding, conceived and developed in-house with a blue balance wheel
Central flying 60-second tourbillon
Power reserve: 100 hours
Balance frequency: 18,000bph / 2.5Hz
Three-dimensional sun winding rotor in 18K 5N+ red gold, titanium and platinum
Number of components: 280
Number of jewels: 30", Hours and minutes displayed on a 50° vertically tilted dial with two serpentine hands. Two crowns: winding on left and time-setting on right.,"Presenting two new limited edition Legacy Machine FlyingT models, inspired by swirling snow and icy stalagmites. These 'Ice' and 'Blizzard' editions – limited to just eight pieces each – are the result of a collaboration between MB&F and French jewellery designer Emmanuel Tarpin, best known for his unique pieces that combine his love for nature, sculpture, innovative materials and gemstones.This is the second collaboration within the Legacy Machine FlyingT collection. The first was with renowned Italian luxury brand Bulgari, famous around the globe – a very different story contrasting with this independent young artist, who prefers to work alone, meeting his clients and suppliers in person and running literally every aspect of his company solo. For Emmanuel Tarpin, personal contacts are at the heart of everything he does, and he chooses and declines projects based on the quality of these connections.Discover the MB&F Legacy Machine FlyingT universe.",Limited edition of 8 pieces
0,value,05.WSL.SB,https://www.mbandf.com/en/machines/performance-art/lmflyingtallegra-mbandf-bulgari,,MB&F,,Performance art,MB&F × BULGARI,"18K white gold diamond-set case, adorned with fine gemstones",LEGACY MACHINE FLYING T ALLEGRA WG,,,,https://www.mbandf.com/files/machines/performance-art/lmflyingtallegra-mbandf-bulgari/images/MBandFXBulgari_FlyingT_Allegra_WG_Front_preview.jpg,,,"
Material: 18K white or red gold, set with diamonds.
High domed sapphire crystal on top with anti-reflective coating on both sides, sapphire crystal on back.
Dimensions: 39 x 20mm
Number of components: 17
Water resistance: 3ATM / 30m / 90 feet",,,"
Material: 18K white or red gold, set with diamonds.
High domed sapphire crystal on top with anti-reflective coating on both sides, sapphire crystal on back.
Dimensions: 39 x 20mm
Number of components: 17
Water resistance: 3ATM / 30m / 90 feet","
Material: 18K white or red gold, set with diamonds.
High domed sapphire crystal on top with anti-reflective coating on both sides, sapphire crystal on back.
Dimensions: 39 x 20mm
Number of components: 17
Water resistance: 3ATM / 30m / 90 feet","
Material: 18K white or red gold, set with diamonds.
High domed sapphire crystal on top with anti-reflective coating on both sides, sapphire crystal on back.
Dimensions: 39 x 20mm
Number of components: 17
Water resistance: 3ATM / 30m / 90 feet","
Material: 18K white or red gold, set with diamonds.
High domed sapphire crystal on top with anti-reflective coating on both sides, sapphire crystal on back.
Dimensions: 39 x 20mm
Number of components: 17
Water resistance: 3ATM / 30m / 90 feet",,,,,,,,,,,"
MB&F FlyingT movement featuring three-dimensional vertical architecture, automatic winding, conceived and developed in-house.
Central flying 60-second tourbillon
Power reserve: 100 hours
Balance frequency: 18,000bph / 2.5Hz
Three-dimensional sun winding rotor in 18K 5N+ red gold, titanium and platinum
Number of components: 280
Number of jewels: 30","
MB&F FlyingT movement featuring three-dimensional vertical architecture, automatic winding, conceived and developed in-house.
Central flying 60-second tourbillon
Power reserve: 100 hours
Balance frequency: 18,000bph / 2.5Hz
Three-dimensional sun winding rotor in 18K 5N+ red gold, titanium and platinum
Number of components: 280
Number of jewels: 30","
MB&F FlyingT movement featuring three-dimensional vertical architecture, automatic winding, conceived and developed in-house.
Central flying 60-second tourbillon
Power reserve: 100 hours
Balance frequency: 18,000bph / 2.5Hz
Three-dimensional sun winding rotor in 18K 5N+ red gold, titanium and platinum
Number of components: 280
Number of jewels: 30","
MB&F FlyingT movement featuring three-dimensional vertical architecture, automatic winding, conceived and developed in-house.
Central flying 60-second tourbillon
Power reserve: 100 hours
Balance frequency: 18,000bph / 2.5Hz
Three-dimensional sun winding rotor in 18K 5N+ red gold, titanium and platinum
Number of components: 280
Number of jewels: 30","
MB&F FlyingT movement featuring three-dimensional vertical architecture, automatic winding, conceived and developed in-house.
Central flying 60-second tourbillon
Power reserve: 100 hours
Balance frequency: 18,000bph / 2.5Hz
Three-dimensional sun winding rotor in 18K 5N+ red gold, titanium and platinum
Number of components: 280
Number of jewels: 30", Hours and minutes displayed on a 50° vertically tilted dial with two serpentine hands. Two crowns: winding on left and time-setting on right.,"The story of the collaboration between Bulgari and MB&F is first and foremost that of an encounter between Bulgari’s Product Creation Executive Director, Fabrizio Buonamassa Stigliani; and MB&F’s Founder and Creative Director, Maximilian Büsser. The outcome is FlyingT Allegra, a joint and unexpected feminine creation merging various skills, but above all two mindsets.This story is also that of an unlikely connection, of two paradoxes combining to form a single, homogeneous and sophisticated whole. It is the story of an encounter between two unusual and unconventional creative approaches. When MB&F and Bulgari decide to join forces, the result can only be extraordinary, in the truest sense of the word.This exceptional partnership goes far beyond the realm of the complicated feminine jewellery watch. It highlights two visions of the world, two interpretations of creativity that are radically different in form, yet which merge in substance within an integrated and harmonious co-creation vividly demonstrating the power of two.Discover the MB&F Legacy Machine FlyingT universe.",Limited edition of 20 pieces
1,value,05.RSL.SB,https://www.mbandf.com/en/machines/performance-art/lmflyingtallegra-mbandf-bulgari,,MB&F,,Performance art,MB&F × BULGARI,"18K rose gold diamond-set case, adorned with fine gemstones",LEGACY MACHINE FLYING T ALLEGRA RG,,,,https://www.mbandf.com/files/machines/performance-art/lmflyingtallegra-mbandf-bulgari/images/MBandFXBulgari_FlyingT_Allegra_RG_Front_preview.jpg,,,"
Material: 18K white or red gold, set with diamonds.
High domed sapphire crystal on top with anti-reflective coating on both sides, sapphire crystal on back.
Dimensions: 39 x 20mm
Number of components: 17
Water resistance: 3ATM / 30m / 90 feet",,,"
Material: 18K white or red gold, set with diamonds.
High domed sapphire crystal on top with anti-reflective coating on both sides, sapphire crystal on back.
Dimensions: 39 x 20mm
Number of components: 17
Water resistance: 3ATM / 30m / 90 feet","
Material: 18K white or red gold, set with diamonds.
High domed sapphire crystal on top with anti-reflective coating on both sides, sapphire crystal on back.
Dimensions: 39 x 20mm
Number of components: 17
Water resistance: 3ATM / 30m / 90 feet","
Material: 18K white or red gold, set with diamonds.
High domed sapphire crystal on top with anti-reflective coating on both sides, sapphire crystal on back.
Dimensions: 39 x 20mm
Number of components: 17
Water resistance: 3ATM / 30m / 90 feet","
Material: 18K white or red gold, set with diamonds.
High domed sapphire crystal on top with anti-reflective coating on both sides, sapphire crystal on back.
Dimensions: 39 x 20mm
Number of components: 17
Water resistance: 3ATM / 30m / 90 feet",,,,,,,,,,,"
MB&F FlyingT movement featuring three-dimensional vertical architecture, automatic winding, conceived and developed in-house.
Central flying 60-second tourbillon
Power reserve: 100 hours
Balance frequency: 18,000bph / 2.5Hz
Three-dimensional sun winding rotor in 18K 5N+ red gold, titanium and platinum
Number of components: 280
Number of jewels: 30","
MB&F FlyingT movement featuring three-dimensional vertical architecture, automatic winding, conceived and developed in-house.
Central flying 60-second tourbillon
Power reserve: 100 hours
Balance frequency: 18,000bph / 2.5Hz
Three-dimensional sun winding rotor in 18K 5N+ red gold, titanium and platinum
Number of components: 280
Number of jewels: 30","
MB&F FlyingT movement featuring three-dimensional vertical architecture, automatic winding, conceived and developed in-house.
Central flying 60-second tourbillon
Power reserve: 100 hours
Balance frequency: 18,000bph / 2.5Hz
Three-dimensional sun winding rotor in 18K 5N+ red gold, titanium and platinum
Number of components: 280
Number of jewels: 30","
MB&F FlyingT movement featuring three-dimensional vertical architecture, automatic winding, conceived and developed in-house.
Central flying 60-second tourbillon
Power reserve: 100 hours
Balance frequency: 18,000bph / 2.5Hz
Three-dimensional sun winding rotor in 18K 5N+ red gold, titanium and platinum
Number of components: 280
Number of jewels: 30","
MB&F FlyingT movement featuring three-dimensional vertical architecture, automatic winding, conceived and developed in-house.
Central flying 60-second tourbillon
Power reserve: 100 hours
Balance frequency: 18,000bph / 2.5Hz
Three-dimensional sun winding rotor in 18K 5N+ red gold, titanium and platinum
Number of components: 280
Number of jewels: 30", Hours and minutes displayed on a 50° vertically tilted dial with two serpentine hands. Two crowns: winding on left and time-setting on right.,"The story of the collaboration between Bulgari and MB&F is first and foremost that of an encounter between Bulgari’s Product Creation Executive Director, Fabrizio Buonamassa Stigliani; and MB&F’s Founder and Creative Director, Maximilian Büsser. The outcome is FlyingT Allegra, a joint and unexpected feminine creation merging various skills, but above all two mindsets.This story is also that of an unlikely connection, of two paradoxes combining to form a single, homogeneous and sophisticated whole. It is the story of an encounter between two unusual and unconventional creative approaches. When MB&F and Bulgari decide to join forces, the result can only be extraordinary, in the truest sense of the word.This exceptional partnership goes far beyond the realm of the complicated feminine jewellery watch. It highlights two visions of the world, two interpretations of creativity that are radically different in form, yet which merge in substance within an integrated and harmonious co-creation vividly demonstrating the power of two.Discover the MB&F Legacy Machine FlyingT universe.",Limited edition of 20 pieces
0,value,04.RL.W1,https://www.mbandf.com/en/machines/performance-art/lmse-eddy-jaquet,,MB&F,,Performance art,MB&F x EDDY JAQUET,5N+ red gold,Twenty Thousand Leagues Under the Sea,,,,https://www.mbandf.com/files/machines/performance-art/lmse-eddy-jaquet/images/MBandFxEddyJaquet_Illustration_Vingt-milles-lieues-sous-les-mers_preview.jpg,,,"
Material: 5N+ red gold
Dimensions: 44.5mm x 18.2mm
Number of components: 50
Water resistance: water resistant to 3 ATM / 30m / 100 feet",,,"
Material: 5N+ red gold
Dimensions: 44.5mm x 18.2mm
Number of components: 50
Water resistance: water resistant to 3 ATM / 30m / 100 feet","
Material: 5N+ red gold
Dimensions: 44.5mm x 18.2mm
Number of components: 50
Water resistance: water resistant to 3 ATM / 30m / 100 feet","
Material: 5N+ red gold
Dimensions: 44.5mm x 18.2mm
Number of components: 50
Water resistance: water resistant to 3 ATM / 30m / 100 feet","
Material: 5N+ red gold
Dimensions: 44.5mm x 18.2mm
Number of components: 50
Water resistance: water resistant to 3 ATM / 30m / 100 feet",,,,,,,,,,,"
LM SE movement developed for MB&F by Stephen McDonnell.
Split escapement with balance wheel suspended above the dial and anchor and escapement wheel under the movement.
Manual winding with double mainspring barrels.
Bespoke 14mm balance wheel with traditional regulating screws visible on top of the movement.
Superlative hand finishing throughout respecting 19th-century style; bevelled internal angles highlighting hand craft; polished bevels; Geneva waves; hand-made engravings.
Balance frequency: 2.5Hz / 18,000 bph
296 components / 35 jewels / 72 hours power reserve","
LM SE movement developed for MB&F by Stephen McDonnell.
Split escapement with balance wheel suspended above the dial and anchor and escapement wheel under the movement.
Manual winding with double mainspring barrels.
Bespoke 14mm balance wheel with traditional regulating screws visible on top of the movement.
Superlative hand finishing throughout respecting 19th-century style; bevelled internal angles highlighting hand craft; polished bevels; Geneva waves; hand-made engravings.
Balance frequency: 2.5Hz / 18,000 bph
296 components / 35 jewels / 72 hours power reserve","
LM SE movement developed for MB&F by Stephen McDonnell.
Split escapement with balance wheel suspended above the dial and anchor and escapement wheel under the movement.
Manual winding with double mainspring barrels.
Bespoke 14mm balance wheel with traditional regulating screws visible on top of the movement.
Superlative hand finishing throughout respecting 19th-century style; bevelled internal angles highlighting hand craft; polished bevels; Geneva waves; hand-made engravings.
Balance frequency: 2.5Hz / 18,000 bph
296 components / 35 jewels / 72 hours power reserve","
LM SE movement developed for MB&F by Stephen McDonnell.
Split escapement with balance wheel suspended above the dial and anchor and escapement wheel under the movement.
Manual winding with double mainspring barrels.
Bespoke 14mm balance wheel with traditional regulating screws visible on top of the movement.
Superlative hand finishing throughout respecting 19th-century style; bevelled internal angles highlighting hand craft; polished bevels; Geneva waves; hand-made engravings.
Balance frequency: 2.5Hz / 18,000 bph
296 components / 35 jewels / 72 hours power reserve","
LM SE movement developed for MB&F by Stephen McDonnell.
Split escapement with balance wheel suspended above the dial and anchor and escapement wheel under the movement.
Manual winding with double mainspring barrels.
Bespoke 14mm balance wheel with traditional regulating screws visible on top of the movement.
Superlative hand finishing throughout respecting 19th-century style; bevelled internal angles highlighting hand craft; polished bevels; Geneva waves; hand-made engravings.
Balance frequency: 2.5Hz / 18,000 bph
296 components / 35 jewels / 72 hours power reserve"," Hours, minutes and power reserve indicator Push-button next to the date dial for quick adjustment of the date.","For the first time, MB&F puts the work of a traditional artisan in the spotlight, with the LM Split Escapement ‘Eddy Jaquet’ Limited Edition: a series of eight unique pieces featuring the extraordinary imagination and skill of the master engraver, depicting the novels of Jules Verne.Eddy Jaquet is recognised throughout the rarefied circles of independent watchmaking as the man whose transformative touch can turn a watch into a rich storytelling tapestry. Those who have followed MB&F for a while will already be familiar with his work. The flowing script you see on the Legacy Machines is made in Eddy Jaquet’s hand; it is the merest hint of his true artistic talent. MB&F founder Maximilian Büsser says, “We’ve worked with Eddy for years, but getting him to engrave names on movements is like playing Für Elise on a Stradivarius violin — you couldn’t imagine a more modest use of such an amazing gift.”The most memorable work of the Neuchatel-based Jaquet is characterised by the depth of its scope and ambition; it is classical in style and heroic in its execution of human figures. In a way, the uniting theme of these 8 Pièces Uniques was inevitable. Says Büsser, “We’re brainstorming around the table, and a theme that comes immediately to mind is the writing of Jules Verne, because I’m so into science fiction, and because the Legacy Machine collection that Eddy has been working on is basically the watch that I would have created if MB&F was founded 150 years ago.”", Piece unique
