,field name,reference_number,watch_URL,type,brand,year_introduced,parent_model,specific_model,nickname,marketing_name,style,currency,price,image_URL,made_in,case_shape,case_material,case_finish,caseback,diameter,between_lugs,lug_to_lug,case_thickness,bezel_material,bezel_color,crystal,water_resistance,weight,dial_color,numerals,bracelet_material,bracelet_color,clasp_type,movement,caliber,power_reserve,frequency,jewels,features,description,short_description;
"Time setting: winding key to both set the time (in the centre of the dial) and wind the movement (on the barrel axis at the back)"",,""Only Watch, the world’s most high-profile charity watch auction, returns in 2019 in its eighth edition to continue raising awareness of Duchenne muscular dystrophy and pursuing a cure for this genetic disorder primarily affecting male children. MB&F is participating in the Only Watch charity auction for the fifth time, donating one of its creations to be sold in support of the Association Monégasque contre les Myopathies.All previous MB&F Machines created for Only Watch were unique pieces from existing collections that incorporated visual elements related to the auction. For this 2019 edition of Only Watch, MB&F and L’Epée 1839 have made the unprecedented choice to contribute a previously unreleased piece, highlighting the special nature of the auction.‘Tom & T-Rex’ will be the first – and a unique – example of the T-Rex clock co-created by MB&F and L’Epée, planned for general release at the end of August 2019."",";
"1,,,https://www.mbandf.com/en/machines/performance-art/hmoser-mbandf-streamliner-pandamonium,,MB&F,,Performance art,,,,,,,https://www.mbandf.com/files/machines/performance-art/hmoser-mbandf-streamliner-pandamonium/images/HMoser_x_MBandF_Streamliner_Pandamonium_Only_Watch_2023_SDT_B_preview.jpg,,,""Steel topped by a slightly domed sapphire crystal";
Diameter: 42.3 mm;
Screw-down crown, adorned with a panda paw print;
See-through sapphire crystal case-back;
"Water-resistant to 5 ATM"",,,""Steel topped by a slightly domed sapphire crystal";
Diameter: 42.3 mm;
Screw-down crown, adorned with a panda paw print;
See-through sapphire crystal case-back;
"Water-resistant to 5 ATM"",""Steel topped by a slightly domed sapphire crystal";
Diameter: 42.3 mm;
Screw-down crown, adorned with a panda paw print;
See-through sapphire crystal case-back;
"Water-resistant to 5 ATM"",""Steel topped by a slightly domed sapphire crystal";
Diameter: 42.3 mm;
Screw-down crown, adorned with a panda paw print;
See-through sapphire crystal case-back;
"Water-resistant to 5 ATM"",""Steel topped by a slightly domed sapphire crystal";
Diameter: 42.3 mm;
Screw-down crown, adorned with a panda paw print;
See-through sapphire crystal case-back;
"Water-resistant to 5 ATM"",,,,,,,,,,,""Partly skeletonised, three-dimensional hand-wound HMC 906 Manufacture calibre";
Balance wheel: specific model with a diameter of 14 mm, equipped with four traditional setting screws, floating above the movement;
Frequency: 18,000 vibrations/hour;
395 components / 37 jewels;
Power reserve: minimum 54 hours;
"Movement and components hand-finished and decorated"",""Partly skeletonised, three-dimensional hand-wound HMC 906 Manufacture calibre";
Balance wheel: specific model with a diameter of 14 mm, equipped with four traditional setting screws, floating above the movement;
Frequency: 18,000 vibrations/hour;
395 components / 37 jewels;
Power reserve: minimum 54 hours;
"Movement and components hand-finished and decorated"",""Partly skeletonised, three-dimensional hand-wound HMC 906 Manufacture calibre";
Balance wheel: specific model with a diameter of 14 mm, equipped with four traditional setting screws, floating above the movement;
Frequency: 18,000 vibrations/hour;
395 components / 37 jewels;
Power reserve: minimum 54 hours;
"Movement and components hand-finished and decorated"",""Partly skeletonised, three-dimensional hand-wound HMC 906 Manufacture calibre";
Balance wheel: specific model with a diameter of 14 mm, equipped with four traditional setting screws, floating above the movement;
Frequency: 18,000 vibrations/hour;
395 components / 37 jewels;
Power reserve: minimum 54 hours;
"Movement and components hand-finished and decorated"",""Partly skeletonised, three-dimensional hand-wound HMC 906 Manufacture calibre";
Balance wheel: specific model with a diameter of 14 mm, equipped with four traditional setting screws, floating above the movement;
Frequency: 18,000 vibrations/hour;
395 components / 37 jewels;
Power reserve: minimum 54 hours;
"Movement and components hand-finished and decorated"",,""Maximilian Büsser and Edouard Meylan have collaborated for a second time for the Only Watch charity auction organised to raise funds for the Monegasque Association against Muscular Dystrophy, co-creating an exceptional one-off piece dedicated to music. Baptised the H. Moser X MB&F Streamliner Pandamonium, it features a minute repeater complication led by a miniature DJing panda, a creature that has become the signature of the Only Watch creations by MB&F.At the heart of the Streamliner's case is a three-dimensional movement that has been developed specifically and exclusively for Only Watch. It will not be used in any other models. Acoustically captivating and visually enticing, the minute repeater mechanism can be seen on the fumé dial in a brand-new colourway. Stripped of logos and indices, this dial illustrates the minimalist philosophy of H. Moser & Cie. and showcases the large suspended balance wheel characteristic of MB&F. With this creation, MB&F and H. Moser & Cie. deliver a masterful mix of their DNAs, rhythmically punctuated with signature elements from each of the two brands. With its rare poetic sophistication, this watch is the height of technical excellence."",";
"2,,,https://www.mbandf.com/en/machines/performance-art/hm10-panda-only-watch,,MB&F,,Performance art,,,,,,,https://www.mbandf.com/files/machines/performance-art/hm10-panda-only-watch/images/MBandF_HM10_Panda_Profile_preview.jpg,,,""Materials:";
Top section: stainless steel, with 5 pockets of black lacquer and 2 pockets of white lacquer (each with 3 layers of colour and 7 layers of varnish).;
Bottom section: Grade 5 titanium, with Preci-Coat matt black PVD. Specially engraved with Only Watch signature: “Only Watch - create beauty to do good”.;
Lugs: Grade 5 titanium with Preci-Coat matt black PVD.;
Ears: Grade 5 titanium, fused to the sapphire crystal dome with Asulab bonding.;
Tail: Ceramic (Grade 5 silicon nitride sphere);
"Dimensions: 54 x 45 x 24 mm"",,,""Materials:";
Top section: stainless steel, with 5 pockets of black lacquer and 2 pockets of white lacquer (each with 3 layers of colour and 7 layers of varnish).;
Bottom section: Grade 5 titanium, with Preci-Coat matt black PVD. Specially engraved with Only Watch signature: “Only Watch - create beauty to do good”.;
Lugs: Grade 5 titanium with Preci-Coat matt black PVD.;
Ears: Grade 5 titanium, fused to the sapphire crystal dome with Asulab bonding.;
Tail: Ceramic (Grade 5 silicon nitride sphere);
"Dimensions: 54 x 45 x 24 mm"",""Materials:";
Top section: stainless steel, with 5 pockets of black lacquer and 2 pockets of white lacquer (each with 3 layers of colour and 7 layers of varnish).;
Bottom section: Grade 5 titanium, with Preci-Coat matt black PVD. Specially engraved with Only Watch signature: “Only Watch - create beauty to do good”.;
Lugs: Grade 5 titanium with Preci-Coat matt black PVD.;
Ears: Grade 5 titanium, fused to the sapphire crystal dome with Asulab bonding.;
Tail: Ceramic (Grade 5 silicon nitride sphere);
"Dimensions: 54 x 45 x 24 mm"",""Materials:";
Top section: stainless steel, with 5 pockets of black lacquer and 2 pockets of white lacquer (each with 3 layers of colour and 7 layers of varnish).;
Bottom section: Grade 5 titanium, with Preci-Coat matt black PVD. Specially engraved with Only Watch signature: “Only Watch - create beauty to do good”.;
Lugs: Grade 5 titanium with Preci-Coat matt black PVD.;
Ears: Grade 5 titanium, fused to the sapphire crystal dome with Asulab bonding.;
Tail: Ceramic (Grade 5 silicon nitride sphere);
"Dimensions: 54 x 45 x 24 mm"",""Materials:";
Top section: stainless steel, with 5 pockets of black lacquer and 2 pockets of white lacquer (each with 3 layers of colour and 7 layers of varnish).;
Bottom section: Grade 5 titanium, with Preci-Coat matt black PVD. Specially engraved with Only Watch signature: “Only Watch - create beauty to do good”.;
Lugs: Grade 5 titanium with Preci-Coat matt black PVD.;
Ears: Grade 5 titanium, fused to the sapphire crystal dome with Asulab bonding.;
Tail: Ceramic (Grade 5 silicon nitride sphere);
"Dimensions: 54 x 45 x 24 mm"",,,,,,,,,,,""Manual-winding in-house movement";
Bespoke flying 14mm balance wheel with four traditional regulating screws floating above the domed dials;
"301 components / 34 jewels / 45h power reserve"",""Manual-winding in-house movement";
Bespoke flying 14mm balance wheel with four traditional regulating screws floating above the domed dials;
"301 components / 34 jewels / 45h power reserve"",""Manual-winding in-house movement";
Bespoke flying 14mm balance wheel with four traditional regulating screws floating above the domed dials;
"301 components / 34 jewels / 45h power reserve"",""Manual-winding in-house movement";
Bespoke flying 14mm balance wheel with four traditional regulating screws floating above the domed dials;
"301 components / 34 jewels / 45h power reserve"",""Manual-winding in-house movement";
Bespoke flying 14mm balance wheel with four traditional regulating screws floating above the domed dials;
"301 components / 34 jewels / 45h power reserve"",""Hours on left dome (aluminium dome rotating in 12 hours)";
Minutes on right dome (aluminium dome rotating in 60 minutes);
"Power reserve indicated by opening and closing of the jaws (end of power reserve = closed jaws)."",""The HM10 Panda for Only Watch will not only bring a smile to collectors’ faces, but also capture their hearts with its important cause.For this ninth edition of Only Watch, MB&F has transformed its Horological Machine No10 – aka HM10 Bulldog – into a panda bear, one of the rarest and cutest of the world’s mammals, much-loved by children and adults alike – including Max, whose first cuddly toy was a panda.Only Watch is a biennial charity auction of one-of-a-kind timepieces where 99 per cent of proceeds go to fund research into Duchenne Muscular Dystrophy, a genetic disorder characterised by progressive muscle degeneration primarily affecting young boys. This is the sixth time MB&F has contributed one of its Machines to Only Watch, once again going above and beyond in the creation of a truly unique timepiece."",";
"3,,,https://www.mbandf.com/en/machines/performance-art/hm8-only-watch,,MB&F,,Performance art,,,,,,,https://www.mbandf.com/files/machines/performance-art/hm8-only-watch/images/HM8_Only-Watch_Back_preview.jpg,,,""Material: 18k white gold and grade 5 titanium";
"Dimensions: 49 x 51.5 x 19 mm"",,,""Material: 18k white gold and grade 5 titanium";
"Dimensions: 49 x 51.5 x 19 mm"",""Material: 18k white gold and grade 5 titanium";
"Dimensions: 49 x 51.5 x 19 mm"",""Material: 18k white gold and grade 5 titanium";
"Dimensions: 49 x 51.5 x 19 mm"",""Material: 18k white gold and grade 5 titanium";
"Dimensions: 49 x 51.5 x 19 mm"",,,,,,,,,,,""Three-dimensional engine conceived and developed by MB&F from a Girard-Perregaux base calibre";
                        Automatic battle-axe winding rotor in 22k gold with purple PVD;
"251 components / 30 jewels / 42h power reserve"",""Three-dimensional engine conceived and developed by MB&F from a Girard-Perregaux base calibre";
                        Automatic battle-axe winding rotor in 22k gold with purple PVD;
"251 components / 30 jewels / 42h power reserve"",""Three-dimensional engine conceived and developed by MB&F from a Girard-Perregaux base calibre";
                        Automatic battle-axe winding rotor in 22k gold with purple PVD;
"251 components / 30 jewels / 42h power reserve"",""Three-dimensional engine conceived and developed by MB&F from a Girard-Perregaux base calibre";
                        Automatic battle-axe winding rotor in 22k gold with purple PVD;
"251 components / 30 jewels / 42h power reserve"",""Three-dimensional engine conceived and developed by MB&F from a Girard-Perregaux base calibre";
                        Automatic battle-axe winding rotor in 22k gold with purple PVD;
"251 components / 30 jewels / 42h power reserve"",,""Dive into the imaginary world of children with the HM8 Only Watch created by MB&F with the young artist Cassandra Legendre.Based on Horological Machine N°8, this Pièce Unique in 18k white gold and grade 5 titanium is instantly recognisable thanks to its special sapphire crystal pane – engraved and metallised with a whimsical drawing created by the talented 15-year old Cassandra. Visible under the illustration, the automatic HM8 engine features a unique purple winding rotor. Check the lateral time display and you’ll notice a miniature white gold elephant situated between the hour and minute prism";" the elephant was sculpted by engraver Olivier Kuhn based on the elephant in Cassandra’s drawing. Final touch: the MB&F logo on the double-screwed plate has been replaced by a happy face – symbolising the childlike perspective that Legendre brings to HM8.Only Watch is a biennial charity auction of unique timepieces under the High Patronage of HSH Prince Albert II of Monaco. All proceeds go to medical research on Duchenne Muscular Dystrophy (DMD)."","
"4,,,https://www.mbandf.com/en/machines/performance-art/hm4-only-watch,,MB&F,,Performance art,,,,,,,https://www.mbandf.com/files/machines/performance-art/hm4-only-watch/images/HM4-OW-UNDER_preview.jpg,,,""Material: grade 5 titanium and sapphire with a detachable 18k white gold panda holding gold reins";
"Dimensions (without panda): 54 x 52 x 24 mm"",,,""Material: grade 5 titanium and sapphire with a detachable 18k white gold panda holding gold reins";
"Dimensions (without panda): 54 x 52 x 24 mm"",""Material: grade 5 titanium and sapphire with a detachable 18k white gold panda holding gold reins";
"Dimensions (without panda): 54 x 52 x 24 mm"",""Material: grade 5 titanium and sapphire with a detachable 18k white gold panda holding gold reins";
"Dimensions (without panda): 54 x 52 x 24 mm"",""Material: grade 5 titanium and sapphire with a detachable 18k white gold panda holding gold reins";
"Dimensions (without panda): 54 x 52 x 24 mm"",,,,,,,,,,,""Three-dimensional horological engine developed by MB&F";
Manual winding with two mainspring barrels in parallel;
"311 components / 50 jewels / 72h power reserve"",""Three-dimensional horological engine developed by MB&F";
Manual winding with two mainspring barrels in parallel;
"311 components / 50 jewels / 72h power reserve"",""Three-dimensional horological engine developed by MB&F";
Manual winding with two mainspring barrels in parallel;
"311 components / 50 jewels / 72h power reserve"",""Three-dimensional horological engine developed by MB&F";
Manual winding with two mainspring barrels in parallel;
"311 components / 50 jewels / 72h power reserve"",""Three-dimensional horological engine developed by MB&F";
Manual winding with two mainspring barrels in parallel;
"311 components / 50 jewels / 72h power reserve"",""Hours and minutes on the right dial"; power reserve indicator on the left dial
"Separate crowns for time setting and winding"",""For the 2011 Only Watch charity auction, under the patronage of HSH Prince Albert II of Monaco, MB&F created an emotionally charged piece in collaboration with Chinese artist, Huang Hankang.Based on the radical Horological Machine No.4, the HM4 Only Watch features a miniature flying panda bear piloting the machine: a magical synthesis of the fantasy of children’s dreams and cutting-edge haute horlogerie."",";
"5,,,https://www.mbandf.com/en/machines/performance-art/hm2-2-black-box,,MB&F,,Performance art,,,,,,,https://www.mbandf.com/files/machines/performance-art/hm2-2-black-box/images/HM2-2-Detail-1_preview.jpg,,,""Material: silicium PVD coated titanium";
"Dimensions: 59 x 38 x 13 mm"",,,""Material: silicium PVD coated titanium";
"Dimensions: 59 x 38 x 13 mm"",""Material: silicium PVD coated titanium";
"Dimensions: 59 x 38 x 13 mm"",""Material: silicium PVD coated titanium";
"Dimensions: 59 x 38 x 13 mm"",""Material: silicium PVD coated titanium";
"Dimensions: 59 x 38 x 13 mm"",,,,,,,,,,,""Three-dimensional horological engine designed by Jean-Marc Wiederrecht/Agenhor Powered by a Sowind base";
22k blued red gold battle-axe automatic winding rotor ;
"349 components / 44 jewels"",""Three-dimensional horological engine designed by Jean-Marc Wiederrecht/Agenhor Powered by a Sowind base";
22k blued red gold battle-axe automatic winding rotor ;
"349 components / 44 jewels"",""Three-dimensional horological engine designed by Jean-Marc Wiederrecht/Agenhor Powered by a Sowind base";
22k blued red gold battle-axe automatic winding rotor ;
"349 components / 44 jewels"",""Three-dimensional horological engine designed by Jean-Marc Wiederrecht/Agenhor Powered by a Sowind base";
22k blued red gold battle-axe automatic winding rotor ;
"349 components / 44 jewels"",""Three-dimensional horological engine designed by Jean-Marc Wiederrecht/Agenhor Powered by a Sowind base";
22k blued red gold battle-axe automatic winding rotor ;
"349 components / 44 jewels"",""Left dial: retrograde date and bi-hemisphere moon phase";
"Right dial: jumping hours and concentric retrograde minutes"",""Alain Silberstein springs a surprise with his case for Horological Machine No.2It takes a lot to surprise followers of MB&F, but the HM2.2, with a case created by French watch designer Alain Silberstein, may well do it. Alain Silberstein is widely known for his bold use of colour and pattern – and one might have expected the adventurous MB&F to push that tendency to the limit. But no, the two came up with what they affectionately called the “black box”, all Bauhaus purity and restraint. It is crafted like a jewel, but Silberstein says that it reminds him of the miniature box cameras of the 1940s.In terms of design, the Silberstein case retains the twin porthole dials and powerful profile of the original Horological Machine No.2 with its flying-buttress lugs. But otherwise, it has been entirely rethought and rebuilt. The science-fiction shock of the original has given way to something lighter and more whimsical, with a personality all its own."",";
"6,,,https://www.mbandf.com/en/machines/performance-art/hm2-only-watch,,MB&F,,Performance art,,,,,,,https://www.mbandf.com/files/machines/performance-art/hm2-only-watch/images/HM2-OW-Engine_preview.jpg,,,""Material: 18k white gold/titanium with sapphire “double dome” glass";
Barbed wire handcrafted in blackened gold and butterfly in blued gold;
"Dimensions (exclusive of crown and lugs): 59 x 38 x 13 mm"",,,""Material: 18k white gold/titanium with sapphire “double dome” glass";
Barbed wire handcrafted in blackened gold and butterfly in blued gold;
"Dimensions (exclusive of crown and lugs): 59 x 38 x 13 mm"",""Material: 18k white gold/titanium with sapphire “double dome” glass";
Barbed wire handcrafted in blackened gold and butterfly in blued gold;
"Dimensions (exclusive of crown and lugs): 59 x 38 x 13 mm"",""Material: 18k white gold/titanium with sapphire “double dome” glass";
Barbed wire handcrafted in blackened gold and butterfly in blued gold;
"Dimensions (exclusive of crown and lugs): 59 x 38 x 13 mm"",""Material: 18k white gold/titanium with sapphire “double dome” glass";
Barbed wire handcrafted in blackened gold and butterfly in blued gold;
"Dimensions (exclusive of crown and lugs): 59 x 38 x 13 mm"",,,,,,,,,,,""Three-dimensional horological engine designed by Jean-Marc Wiederrecht/Agenhor";
Powered by a Sowind base;
22k blued red gold battle-axe automatic winding rotor ;
"349 components / 44 jewels"",""Three-dimensional horological engine designed by Jean-Marc Wiederrecht/Agenhor";
Powered by a Sowind base;
22k blued red gold battle-axe automatic winding rotor ;
"349 components / 44 jewels"",""Three-dimensional horological engine designed by Jean-Marc Wiederrecht/Agenhor";
Powered by a Sowind base;
22k blued red gold battle-axe automatic winding rotor ;
"349 components / 44 jewels"",""Three-dimensional horological engine designed by Jean-Marc Wiederrecht/Agenhor";
Powered by a Sowind base;
22k blued red gold battle-axe automatic winding rotor ;
"349 components / 44 jewels"",""Three-dimensional horological engine designed by Jean-Marc Wiederrecht/Agenhor";
Powered by a Sowind base;
22k blued red gold battle-axe automatic winding rotor ;
"349 components / 44 jewels"",""Left dial: retrograde date and bi-hemisphere moon phase";
"Right dial: jumping hours and concentric retrograde minutes"",""MB&F and artist Sage Vaughn made a strong statement at the 2009 Only Watch charity auction.There is a butterfly trapped in the movement of the latest watch to emerge from MB&F. And it has no hope of escaping, because the complicated movement is wrapped in barbed wire. This emotionally charged piece, a one-of-a-kind interpretation of MB&F’s Horological Machine No.2, is signed by the American artist Sage Vaughn.After a first meeting with Max Büsser, Sage Vaughn understood the mission at once and immediately proposed to donate his time and talent. The entire upper face of the watch is crafted in sapphire crystal, revealing the HM2’s complex engine. The hundreds of minute components are imprisoned in barbed wire and the blue butterfly struggles to escape from the same fate. The scene has all the emotional power of the first rough by Sage Vaughn – a pencil sketch of the movement criss-crossed by barbed wire drawn in red pencil."",";
